s.no	worker_id	original_tableid	original_hypothesis	original_label	modified_tableid	modified_hypothesis	modified_label
0	IA0	T1770	Insane Clown Posse has been performing since the 1990's.	E	T1770_mod_5	Insane Clown Posse has been performing since the 1990's.	C
0	IA2	T1770	Insane Clown Posse hails from San Francisco, California.	C	T1770_mod_6	Insane Clown Posse hails from San Francisco, California.	E
0	IA0	T117	Exile on Main St. is 57 minutes long.	C	T117_mod_2	Exile on Main St. is 57 minutes long.	E
0	IA0	T117	Exile on Main St. is an album that came out in the spring of 1972.	E	T117_mod_3	Exile on Main St. is an album that came out in the spring of 1972.	C
0	IA0	T1770	Insane Clown Posse has been performing for over thirty years.	E	T1770_mod_7	Insane Clown Posse has been performing for over thirty years.	C
0	IA0	T117	The album Exile on Main St. is under an hour in length.	C	T117_mod_4	The album Exile on Main St. is under an hour in length.	E
0	IA0	T1770	Insane Clown Posse has been signed to a single label for all their career.	C	T1770_mod_8	Insane Clown Posse has been signed to a single label for all their career.	E
0	IA2	T117	Exile on Main St. has a run time over one hour.	E	T117_mod_5	Exile on Main St. has a run time over one hour.	C
0	IA0	T117	Exile on Main St. was released in the Fall of 1972.	C	T117_mod_6	Exile on Main St. was released in the Fall of 1972.	E
0	IA1	T1770	Insane Clown Posse has been performing for 30 years.	E	T1770_mod_9	Insane Clown Posse has been performing for 30 years.	C
0	IA0	T118	John Wayne Gacy killed more than 2 dozen people.	E	T118_mod_1	John Wayne Gacy killed more than 2 dozen people.	C
0	IA2	T1770	Insane Clown Posse are known for staying on one label their whole career.	C	T1770_mod_10	Insane Clown Posse are known for staying on one label their whole career.	E
0	IA0	T118	John Wayne Gacy was caught in the winter of 1978.	E	T118_mod_2	John Wayne Gacy was caught in the winter of 1978.	C
0	IA1	T1770	Both of Insane Clown Posse's members were born in Detroit.	E	T1770_mod_11	Both of Insane Clown Posse's members were born in Detroit.	C
0	IA0	T118	John Wayne Gacy was sentenced to prison in the 1980's.	C	T118_mod_3	John Wayne Gacy was sentenced to prison in the 1980's.	E
0	IA1	T1770	Insane Clown Posse is associated with Limp Bizkit.	C	T1770_mod_12	Insane Clown Posse is associated with Limp Bizkit.	E
0	IA1	T118	John Wayne Gacy was apprehended around Christmas of 1978.	E	T118_mod_4	John Wayne Gacy was apprehended around Christmas of 1978.	C
0	IA0	T442	Archie Horror's Chilling Adventures of Sabrina debuted before Halloween in 2014.	E	T442_mod_1	Archie Horror's Chilling Adventures of Sabrina debuted before Halloween in 2014.	C
0	IA2	T118	John Wayne Gacy committed his last crime in the Summer of 1978.	C	T118_mod_5	John Wayne Gacy committed his last crime in the Summer of 1978.	E
0	IA2	T119	Byun Baek-hyun makes money in fashion and in music.	E	T119_mod_1	Byun Baek-hyun makes money in fashion and in music.	C
0	IA2	T442	Chilling Adventures of Sabrina first started in 2014	E	T442_mod_2	Chilling Adventures of Sabrina first started in 2014	C
0	IA1	T119	Byun Baek-hyun was born in the Fall of 1992.	C	T119_mod_2	Byun Baek-hyun was born in the Fall of 1992.	E
0	IA0	T119	Byun Baek-hyun received a college education.	E	T119_mod_3	Byun Baek-hyun received a college education.	C
0	IA2	T442	The comic is issued monthly	C	T442_mod_3	The comic is issued monthly	E
0	IA0	T119	Byun Baek-hyun is known for singing heavy metal.	C	T119_mod_4	Byun Baek-hyun is known for singing heavy metal.	E
0	IA2	T442	The Chilling Adventures of Sabrina comic was first published in the Fall of 2014.	E	T442_mod_4	The Chilling Adventures of Sabrina comic was first published in the Fall of 2014.	C
0	IA0	T119	Byun Baek-hyun was born in Asia.	E	T119_mod_5	Byun Baek-hyun was born in Asia.	C
0	IA0	T442	Chilling Adventures of Sabrina has more than 10 issues so far.	C	T442_mod_5	Chilling Adventures of Sabrina has more than 10 issues so far.	E
0	IA1	T119	Byun Baek-hyun has been a singer for more than 30 years.	C	T119_mod_6	Byun Baek-hyun has been a singer for more than 30 years.	E
0	IA0	T442	Chilling Adventures of Sabrina is known for being a scary comic.	E	T442_mod_6	Chilling Adventures of Sabrina is known for being a scary comic.	C
0	IA0	T576	Christopher Nolan was born in the United Kingdom.	E	T576_mod_1	Christopher Nolan was born in the United Kingdom.	C
0	IA1	T442	The Chilling Adventures of Sabrina has been being produced since the 90s.	C	T442_mod_7	The Chilling Adventures of Sabrina has been being produced since the 90s.	E
0	IA1	T576	The director Christopher Nolan has been working since 1970.	C	T576_mod_2	The director Christopher Nolan has been working since 1970.	E
0	IA1	T442	There were fewer than a dozen issues of the Chilling Adventures of Sabrina.	E	T442_mod_8	There were fewer than a dozen issues of the Chilling Adventures of Sabrina.	C
0	IA0	T576	Christopher Nolan was born in Europe.	E	T576_mod_3	Christopher Nolan was born in Europe.	C
0	IA0	T442	Chilling Adventures of Sabrina could be counted on to be issued on a set schedule.	C	T442_mod_9	Chilling Adventures of Sabrina could be counted on to be issued on a set schedule.	E
0	IA1	T576	Christopher Nolan has 4 sons.	C	T576_mod_4	Christopher Nolan has 4 sons.	E
0	IA0	T442	The Chilling Adventures of Sabrina is an ongoing series published by Archie Horror.	E	T442_mod_10	The Chilling Adventures of Sabrina is an ongoing series published by Archie Horror.	C
0	IA0	T442	Sabrina the Teenage Witch is a character that can be seen in new adventures on a regular basis.	C	T442_mod_11	Sabrina the Teenage Witch is a character that can be seen in new adventures on a regular basis.	E
0	IA1	T576	Christopher Nolan has been active in the film business for about 30 years.	E	T576_mod_5	Christopher Nolan has been active in the film business for about 30 years.	C
0	IA1	T576	Christopher Nolan was born in the Fall of 1970.	C	T576_mod_6	Christopher Nolan was born in the Fall of 1970.	E
0	IA2	T86	Event Horizon was released in the US earlier than in the UK.	E	T86_mod_1	Event Horizon was released in the US earlier than in the UK.	C
0	IA1	T86	Event Horizon would take over two hours to watch.	C	T86_mod_2	Event Horizon would take over two hours to watch.	E
0	IA1	T576	Christopher Nolan works in the film industry and has dual-citizenship.	E	T576_mod_7	Christopher Nolan works in the film industry and has dual-citizenship.	C
0	IA0	T576	Christopher Nolan started his career in his twenties.	C	T576_mod_8	Christopher Nolan started his career in his twenties.	E
0	IA1	T576	Christopher Nolan has been married for over twenty years.	E	T576_mod_9	Christopher Nolan has been married for over twenty years.	C
0	IA2	T86	Event Horizon was a film that was released in the late 1990s.	E	T86_mod_3	Event Horizon was a film that was released in the late 1990s.	C
0	IA0	T576	Christopher Nolan attended college in the United States.	C	T576_mod_10	Christopher Nolan attended college in the United States.	E
0	IA1	T576	Christopher Nolan is a well-known British director.	E	T576_mod_11	Christopher Nolan is a well-known British director.	C
0	IA0	T86	The film Event Horizon wound up making money in theaters.	C	T86_mod_4	The film Event Horizon wound up making money in theaters.	E
0	IA0	T576	Christopher Nolan has 3 children with his spouse of 30 years.	C	T576_mod_12	Christopher Nolan has 3 children with his spouse of 30 years.	E
0	IA0	T86	Event Horizon had 3 producers.	E	T86_mod_5	Event Horizon had 3 producers.	C
0	IA2	T121	Buffy the Vampire Slayer Season Ten took more than 2 years to fully release.	E	T121_mod_1	Buffy the Vampire Slayer Season Ten took more than 2 years to fully release.	C
0	IA0	T86	Event Horizon made a large profit in the box office.	C	T86_mod_6	Event Horizon made a large profit in the box office.	E
0	IA0	T121	Buffy the Vampire Slayer Season Ten had an original production run of over two years.	E	T121_mod_2	Buffy the Vampire Slayer Season Ten had an original production run of over two years.	C
0	IA0	T87	Broken Social Scene has been a band for about 20 years.	E	T87_mod_1	Broken Social Scene has been a band for about 20 years.	C
0	IA1	T121	Buffy the Vampire Slayer Season Ten began publication in the summer.	C	T121_mod_3	Buffy the Vampire Slayer Season Ten began publication in the summer.	E
0	IA0	T87	Broken Social Scene has made music on more than 1 label.	C	T87_mod_2	Broken Social Scene has made music on more than 1 label.	E
0	IA0	T121	Buffy the Vampire Slayer Season Ten was a comic that had 30 issues.	E	T121_mod_4	Buffy the Vampire Slayer Season Ten was a comic that had 30 issues.	C
0	IA0	T87	Broken Social Scene has been active for less than 10 years.	E	T87_mod_3	Broken Social Scene has been active for less than 10 years.	C
0	IA1	T121	The comic Buffy the Vampire Slayer Season Ten was released by Marvel comics.	C	T121_mod_5	The comic Buffy the Vampire Slayer Season Ten was released by Marvel comics.	E
0	IA2	T87	Broken Social Scene has performed at a concert where Kurt Cobain was present.	C	T87_mod_4	Broken Social Scene has performed at a concert where Kurt Cobain was present.	E
0	IA0	T87	Broken Social Scene originated in the northern hemisphere.	E	T87_mod_5	Broken Social Scene originated in the northern hemisphere.	C
0	IA0	T1962	Hoboken, New Jersey is only 8 meters above sea level.	E	T1962_mod_1	Hoboken, New Jersey is only 8 meters above sea level.	C
0	IA0	T87	Broken Social Scene originated in the southern hemisphere.	C	T87_mod_6	Broken Social Scene originated in the southern hemisphere.	E
0	IA0	T89	Erykah Badu is a singer.	E	T89_mod_1	Erykah Badu is a singer.	C
0	IA2	T1962	Hoboken, New Jersey is one of the largest areas in the state of New Jersey.	C	T1962_mod_2	Hoboken, New Jersey is one of the largest areas in the state of New Jersey.	E
0	IA0	T89	Erykah Badu was born in Europe.	C	T89_mod_2	Erykah Badu was born in Europe.	E
0	IA2	T1962	Hoboken, New Jersey is smaller than 2.5 square miles.	E	T1962_mod_3	Hoboken, New Jersey is smaller than 2.5 square miles.	C
0	IA0	T89	Erykah Badu has made music for more than 20 years.	E	T89_mod_3	Erykah Badu has made music for more than 20 years.	C
0	IA2	T89	Erykah Badu was born in the Summer of 1971.	C	T89_mod_4	Erykah Badu was born in the Summer of 1971.	E
0	IA0	T1962	Water covers more than 40 percent of Hoboken, New Jersey.	C	T1962_mod_4	Water covers more than 40 percent of Hoboken, New Jersey.	E
0	IA1	T89	Erykah Badu was born in the winter of 1971.	E	T89_mod_5	Erykah Badu was born in the winter of 1971.	C
0	IA0	T1962	Hoboken, New Jersey has no water bodies.	C	T1962_mod_5	Hoboken, New Jersey has no water bodies.	E
0	IA0	T89	The musician Erykah Badu has been singing since 1945.	C	T89_mod_6	The musician Erykah Badu has been singing since 1945.	E
0	IA0	T1962	Hoboken, New Jersey is 63.42% land and 36.58% water.	E	T1962_mod_6	Hoboken, New Jersey is 63.42% land and 36.58% water.	C
0	IA0	T90	Florence and the Machine were formed in England.	E	T90_mod_1	Florence and the Machine were formed in England.	C
0	IA1	T90	Florence and the Machine have been on 8 different record labels.	C	T90_mod_2	Florence and the Machine have been on 8 different record labels.	E
0	IA0	T1962	Hoboken, New Jersey has more water than land.	C	T1962_mod_7	Hoboken, New Jersey has more water than land.	E
0	IA1	T90	Florence and the Machine produces music that spans many different genres.	E	T90_mod_3	Florence and the Machine produces music that spans many different genres.	C
0	IA1	T90	Florence and the Machine has stuck with one label for their entire active years.	C	T90_mod_4	Florence and the Machine has stuck with one label for their entire active years.	E
0	IA0	T1962	Hoboken, New Jersey is at 50 meter elevation.	C	T1962_mod_8	Hoboken, New Jersey is at 50 meter elevation.	E
0	IA0	T90	Florence and the Machine has been a band for over 10 years.	E	T90_mod_5	Florence and the Machine has been a band for over 10 years.	C
0	IA0	T1962	Hoboken, New Jersey has more land area than water area.	E	T1962_mod_9	Hoboken, New Jersey has more land area than water area.	C
0	IA2	T90	Florence and the Machine has made music on more than 10 record labels.	C	T90_mod_6	Florence and the Machine has made music on more than 10 record labels.	E
0	IA2	T1962	Hoboken, New Jersey in the top 10% in size in the state.	C	T1962_mod_10	Hoboken, New Jersey in the top 10% in size in the state.	E
0	IA0	T123	Christ of Saint John of the Cross was painted in the 1950s.	E	T123_mod_1	Christ of Saint John of the Cross was painted in the 1950s.	C
0	IA1	T91	Jurassic World had more than one production company.	E	T91_mod_1	Jurassic World had more than one production company.	C
0	IA1	T123	The painting Christ of Saint John of the Cross involved using water based paints.	C	T123_mod_2	The painting Christ of Saint John of the Cross involved using water based paints.	E
0	IA0	T123	Christ of Saint John of the Cross was painted in the middle portion of the 20th century.	E	T123_mod_3	Christ of Saint John of the Cross was painted in the middle portion of the 20th century.	C
0	IA2	T91	Jurassic World had a total of two stars.	C	T91_mod_2	Jurassic World had a total of two stars.	E
0	IA2	T123	The longer side of the Christ of Saint John of the Cross is over 8 feet long.	C	T123_mod_4	The longer side of the Christ of Saint John of the Cross is over 8 feet long.	E
0	IA1	T91	Jurassic World made over a billion and a half dollars over it's budget at the box office.	E	T91_mod_3	Jurassic World made over a billion and a half dollars over it's budget at the box office.	C
0	IA0	T123	Christ of Saint John of the Cross is hanging in Scotland	E	T123_mod_5	Christ of Saint John of the Cross is hanging in Scotland	C
0	IA1	T91	Jurassic World was released in the US in the Fall of 2015.	C	T91_mod_4	Jurassic World was released in the US in the Fall of 2015.	E
0	IA2	T124	Bruce Springsteen has 3 children	E	T124_mod_1	Bruce Springsteen has 3 children	C
0	IA2	T91	Jurassic World cost over $100 million to make.	E	T91_mod_5	Jurassic World cost over $100 million to make.	C
0	IA2	T91	The movie Jurassic World made less than a billion dollars.	C	T91_mod_6	The movie Jurassic World made less than a billion dollars.	E
0	IA2	T124	Bruce Springsteen was born in the Fall of 1949.	E	T124_mod_2	Bruce Springsteen was born in the Fall of 1949.	C
0	IA2	T92	More than four people were producers on Fantastic Four.	E	T92_mod_1	More than four people were producers on Fantastic Four.	C
0	IA1	T124	Bruce Springsteen has been making music for less than 50 years.	C	T124_mod_3	Bruce Springsteen has been making music for less than 50 years.	E
0	IA0	T92	The run time of Fantastic Four is over 2 hours.	C	T92_mod_2	The run time of Fantastic Four is over 2 hours.	E
0	IA2	T124	Bruce Springsteen was born on the east coast of the U.S.	E	T124_mod_4	Bruce Springsteen was born on the east coast of the U.S.	C
0	IA1	T92	The film Fantastic Four was released during the summer of 2015.	E	T92_mod_3	The film Fantastic Four was released during the summer of 2015.	C
0	IA0	T124	Bruce Springsteen is known for playing jazz music.	C	T124_mod_5	Bruce Springsteen is known for playing jazz music.	E
0	IA0	T92	The film Fantastic Four was produced by Elliot Greenberg.	C	T92_mod_4	The film Fantastic Four was produced by Elliot Greenberg.	E
0	IA1	T92	Fantastic Four was directed by Josh Trank.	E	T92_mod_5	Fantastic Four was directed by Josh Trank.	C
0	IA0	T1947	Hitoshi Sakimoto wrote music on an instrument with keys.	E	T1947_mod_1	Hitoshi Sakimoto wrote music on an instrument with keys.	C
0	IA0	T1947	Hitoshi Sakimoto has been an active musician for forty years.	C	T1947_mod_2	Hitoshi Sakimoto has been an active musician for forty years.	E
0	IA1	T92	Fantastic Four has a running time of 60 minutes.	C	T92_mod_6	Fantastic Four has a running time of 60 minutes.	E
0	IA0	T1947	Hitoshi Sakimoto has been active for over 30 years.	E	T1947_mod_3	Hitoshi Sakimoto has been active for over 30 years.	C
0	IA0	T93	Favourite Worst Nightmare was an album that was released in the spring of 2007.	E	T93_mod_1	Favourite Worst Nightmare was an album that was released in the spring of 2007.	C
0	IA1	T1947	Hitoshi Sakimoto was born late in the year of 1969.	C	T1947_mod_4	Hitoshi Sakimoto was born late in the year of 1969.	E
0	IA1	T93	Favourite Worst Nightmare was over an hour in length.	C	T93_mod_2	Favourite Worst Nightmare was over an hour in length.	E
0	IA0	T93	Favourite Worst Nightmare is under 40 minutes long.	E	T93_mod_3	Favourite Worst Nightmare is under 40 minutes long.	C
0	IA0	T93	Favourite Worst Nightmare was recorded in Ireland.	C	T93_mod_4	Favourite Worst Nightmare was recorded in Ireland.	E
0	IA1	T1947	Hitoshi Sakimoto has been performing for over twenty years.	E	T1947_mod_5	Hitoshi Sakimoto has been performing for over twenty years.	C
0	IA1	T93	Favourite Worst Nightmare was released early in the 21st century.	E	T93_mod_5	Favourite Worst Nightmare was released early in the 21st century.	C
0	IA2	T1947	Hitoshi Sakimoto can only play one instrument.	C	T1947_mod_6	Hitoshi Sakimoto can only play one instrument.	E
0	IA0	T93	It took several months to record Favourite Worst Nightmare.	C	T93_mod_6	It took several months to record Favourite Worst Nightmare.	E
0	IA0	T1947	Hitoshi Sakimoto is a music composer.	E	T1947_mod_7	Hitoshi Sakimoto is a music composer.	C
0	IA1	T95	Eric Clapton played with the Yardbirds.	E	T95_mod_1	Eric Clapton played with the Yardbirds.	C
0	IA0	T1947	Hitoshi Sakimoto started his career in his early twenties.	C	T1947_mod_8	Hitoshi Sakimoto started his career in his early twenties.	E
0	IA0	T95	Eric Clapton plays heavy metal music.	C	T95_mod_2	Eric Clapton plays heavy metal music.	E
0	IA2	T1947	Hitoshi Sakimoto was under more than one label.	C	T1947_mod_9	Hitoshi Sakimoto was under more than one label.	E
0	IA0	T95	Eric Clapton was born in the United Kingdom.	E	T95_mod_3	Eric Clapton was born in the United Kingdom.	C
0	IA1	T1947	Hitoshi Sakimoto has been performing for over thirty years.	E	T1947_mod_10	Hitoshi Sakimoto has been performing for over thirty years.	C
0	IA0	T95	Eric Clapton is known for playing drums.	C	T95_mod_4	Eric Clapton is known for playing drums.	E
0	IA2	T95	Eric Clapton was born in the Spring of 1945.	E	T95_mod_5	Eric Clapton was born in the Spring of 1945.	C
0	IA1	T1947	Hitoshi Sakimoto has been signed to many labels during his career.	C	T1947_mod_11	Hitoshi Sakimoto has been signed to many labels during his career.	E
0	IA1	T126	Jean-Claude Van Damme was born in the Fall of 1960.	E	T126_mod_1	Jean-Claude Van Damme was born in the Fall of 1960.	C
0	IA0	T95	Eric Clapton has been active for over 60 years in the music business.	C	T95_mod_6	Eric Clapton has been active for over 60 years in the music business.	E
0	IA0	T96	Jemaine Clement is a musician that is from New Zealand.	E	T96_mod_1	Jemaine Clement is a musician that is from New Zealand.	C
0	IA2	T126	Jean-Claude Van Damme began acting before he started Martial Arts.	C	T126_mod_2	Jean-Claude Van Damme began acting before he started Martial Arts.	E
0	IA1	T126	Jean-Claude Van Damme has a black belt.	E	T126_mod_3	Jean-Claude Van Damme has a black belt.	C
0	IA0	T126	Jean-Claude Van Damme got involved in martial arts after he was an established actor.	C	T126_mod_4	Jean-Claude Van Damme got involved in martial arts after he was an established actor.	E
0	IA0	T96	Jemaine Clement has done live shows.	E	T96_mod_2	Jemaine Clement has done live shows.	C
0	IA0	T126	Jean-Claude Van Damme is under six feet tall.	E	T126_mod_5	Jean-Claude Van Damme is under six feet tall.	C
0	IA1	T96	Jemaine Clement has not appeared in any films.	C	T96_mod_3	Jemaine Clement has not appeared in any films.	E
0	IA0	T126	Jean-Claude Van Damme stopped acting to pursue martial arts.	C	T126_mod_6	Jean-Claude Van Damme stopped acting to pursue martial arts.	E
0	IA2	T96	Jemaine Clement was born in the Winter of 1974.	E	T96_mod_4	Jemaine Clement was born in the Winter of 1974.	C
0	IA1	T127	Jodie Foster no longer goes by her birth name.	E	T127_mod_1	Jodie Foster no longer goes by her birth name.	C
0	IA2	T96	Jemaine Clement has been active in music for less than 20 years.	C	T96_mod_5	Jemaine Clement has been active in music for less than 20 years.	E
0	IA2	T97	Charles Lindbergh served in the military for more than 35 years total.	E	T97_mod_1	Charles Lindbergh served in the military for more than 35 years total.	C
0	IA2	T97	Charles Lindbergh was born in the Fall of 1902.	C	T97_mod_2	Charles Lindbergh was born in the Fall of 1902.	E
0	IA2	T127	Jodie Foster has been acting for over sixty years.	C	T127_mod_2	Jodie Foster has been acting for over sixty years.	E
0	IA0	T127	Jodie Foster is the stage name for an actor born in Los Angeles, CA.	E	T127_mod_3	Jodie Foster is the stage name for an actor born in Los Angeles, CA.	C
0	IA1	T97	Charles Lindbergh was born in the United States.	E	T97_mod_3	Charles Lindbergh was born in the United States.	C
0	IA0	T127	Buddy Foster is Jodie Foster's child.	C	T127_mod_4	Buddy Foster is Jodie Foster's child.	E
0	IA0	T97	Charles Lindbergh passed away when they were 80 years old.	C	T97_mod_4	Charles Lindbergh passed away when they were 80 years old.	E
0	IA0	T127	Jodie Foster has been active in film for more than 50 years.	E	T127_mod_5	Jodie Foster has been active in film for more than 50 years.	C
0	IA0	T97	Charles Lindbergh died before his last wife.	E	T97_mod_5	Charles Lindbergh died before his last wife.	C
0	IA2	T127	Jodie Foster was born in the Spring of 1962.	C	T127_mod_6	Jodie Foster was born in the Spring of 1962.	E
0	IA0	T98	chendu has less than one third of its total area as urban area	E	T98_mod_1	chendu has less than one third of its total area as urban area	C
0	IA1	T128	Kathie Lee Gifford was born in a country different than her hometown.	E	T128_mod_1	Kathie Lee Gifford was born in a country different than her hometown.	C
0	IA1	T128	Kathie Lee Gifford married Paul Johnson after Frank Gifford.	C	T128_mod_2	Kathie Lee Gifford married Paul Johnson after Frank Gifford.	E
0	IA1	T98	Chengdu's highest elevation is over 5,000 meters.	E	T98_mod_2	Chengdu's highest elevation is over 5,000 meters.	C
0	IA0	T98	The highest elevation in Chengdu is over 5k meters.	E	T98_mod_3	The highest elevation in Chengdu is over 5k meters.	C
0	IA2	T128	Kathie has been on a television sound stage.	E	T128_mod_3	Kathie has been on a television sound stage.	C
0	IA0	T98	The lowest elevation in Chengdu is under 350 m.	C	T98_mod_4	The lowest elevation in Chengdu is under 350 m.	E
0	IA2	T128	Frank was Kathy's first husband.	C	T128_mod_4	Frank was Kathy's first husband.	E
0	IA1	T99	Paul Bruce Dickinson was born in America.	C	T99_mod_1	Paul Bruce Dickinson was born in America.	E
0	IA2	T99	Bruce Dickinson has had an active career for more than 40 years.	E	T99_mod_2	Bruce Dickinson has had an active career for more than 40 years.	C
0	IA0	T99	Bruce Dickinson was born in the Winter of 1958.	C	T99_mod_3	Bruce Dickinson was born in the Winter of 1958.	E
0	IA0	T128	Kathie Lee Gifford was born in the Spring of 1953.	C	T128_mod_5	Kathie Lee Gifford was born in the Spring of 1953.	E
0	IA2	T99	Bruce Dickinson played modern music.	E	T99_mod_4	Bruce Dickinson played modern music.	C
0	IA0	T129	Iron Man was first released in Australia.	E	T129_mod_1	Iron Man was first released in Australia.	C
0	IA2	T129	Iron Man is 1.5 hours long.	C	T129_mod_2	Iron Man is 1.5 hours long.	E
0	IA1	T100	Fargo earned over 100 million dollars in the box office.	C	T100_mod_1	Fargo earned over 100 million dollars in the box office.	E
0	IA1	T129	Iron Man has a length that is more than 2 hours long.	E	T129_mod_3	Iron Man has a length that is more than 2 hours long.	C
0	IA0	T129	Iron Man made over 500 million dollars more than it's budget.	C	T129_mod_4	Iron Man made over 500 million dollars more than it's budget.	E
0	IA0	T100	Fargo made over 50 million at the box office.	E	T100_mod_2	Fargo made over 50 million at the box office.	C
0	IA1	T129	Iron Man premiered in Australia before being released in the United States.	E	T129_mod_5	Iron Man premiered in Australia before being released in the United States.	C
0	IA0	T129	Iron Man has a running time under two hours.	C	T129_mod_6	Iron Man has a running time under two hours.	E
0	IA1	T100	Fargo's run time is over two hours long.	C	T100_mod_3	Fargo's run time is over two hours long.	E
0	IA1	T130	John James Rickard Macleod won a Nobel Peace Prize in the first quarter of the 20th century.	E	T130_mod_1	John James Rickard Macleod won a Nobel Peace Prize in the first quarter of the 20th century.	C
0	IA1	T100	Fargo made over $60 million at the box office.	E	T100_mod_4	Fargo made over $60 million at the box office.	C
0	IA0	T130	John James Rickard Macleod died in the Fall of 1935.	C	T130_mod_2	John James Rickard Macleod died in the Fall of 1935.	E
0	IA0	T100	Fargo was released in 1995.	C	T100_mod_5	Fargo was released in 1995.	E
0	IA0	T546	Circus was released before Christmas of 2008.	E	T546_mod_1	Circus was released before Christmas of 2008.	C
0	IA0	T130	John James Rickard Macleod won the Nobel Prize in the 20th century.	E	T130_mod_3	John James Rickard Macleod won the Nobel Prize in the 20th century.	C
0	IA0	T130	John James Rickard Macleod died in Clunie, Perthshire, Scotland.	C	T130_mod_4	John James Rickard Macleod died in Clunie, Perthshire, Scotland.	E
0	IA0	T546	Circus was recorded at one single studio.	C	T546_mod_2	Circus was recorded at one single studio.	E
0	IA2	T546	The album Circus was released in the winter of 2008.	E	T546_mod_3	The album Circus was released in the winter of 2008.	C
0	IA2	T130	John James Rickard Macleod was born in Europe.	E	T130_mod_5	John James Rickard Macleod was born in Europe.	C
0	IA1	T130	John James Rickard Macleod received the Nobel Prize when he was only 30 years old.	C	T130_mod_6	John James Rickard Macleod received the Nobel Prize when he was only 30 years old.	E
0	IA1	T546	The album Circus is longer than one hour in length.	C	T546_mod_4	The album Circus is longer than one hour in length.	E
0	IA2	T131	Sandra Will was married prior to 1983.	E	T131_mod_1	Sandra Will was married prior to 1983.	C
0	IA1	T546	Circus' run time is in between 30 minutes and one hour.	E	T546_mod_5	Circus' run time is in between 30 minutes and one hour.	C
0	IA2	T131	No one is the family was married after 1980.	C	T131_mod_2	No one is the family was married after 1980.	E
0	IA1	T546	Circus was released in the Spring of 2008.	C	T546_mod_6	Circus was released in the Spring of 2008.	E
0	IA0	T546	Circus is less than 20 years old.	E	T546_mod_7	Circus is less than 20 years old.	C
0	IA0	T546	Circus was recorded in th United States.	C	T546_mod_8	Circus was recorded in th United States.	E
0	IA0	T131	Keith Carradine was born in California	E	T131_mod_3	Keith Carradine was born in California	C
0	IA0	T131	Keith Carradine does not have any children	C	T131_mod_4	Keith Carradine does not have any children	E
0	IA0	T546	Circus is a pop album released in 2008.	E	T546_mod_9	Circus is a pop album released in 2008.	C
0	IA1	T131	Keith Carradine has had an active career for more than 45 years.	E	T131_mod_5	Keith Carradine has had an active career for more than 45 years.	C
0	IA0	T546	Circus was a small production effort with just Guy Sigsworth over seeing the production under Jive Records.	C	T546_mod_10	Circus was a small production effort with just Guy Sigsworth over seeing the production under Jive Records.	E
0	IA1	T546	Circus was eventually released over two years after recording began.	E	T546_mod_11	Circus was eventually released over two years after recording began.	C
0	IA2	T131	Keith Carradine was born in the Spring of 1949.	C	T131_mod_6	Keith Carradine was born in the Spring of 1949.	E
0	IA0	T546	Circus was recorded at several studios all within the United States.	C	T546_mod_12	Circus was recorded at several studios all within the United States.	E
0	IA0	T132	Evan Rachel Wood is from North America.	E	T132_mod_1	Evan Rachel Wood is from North America.	C
0	IA1	T132	Evan Rachel Wood was married for four years.	C	T132_mod_2	Evan Rachel Wood was married for four years.	E
